rating_numerator,timestamp
10,2016-03-14 18:42:20
8,2016-03-14 16:02:49
11,2016-03-14 03:50:21
11,2016-03-14 02:39:42
45,2016-03-14 02:04:08
10,2016-03-13 23:24:56
9,2016-03-13 15:43:18
9,2016-03-13 02:43:08
10,2016-03-13 01:57:25
10,2016-03-13 00:24:26
11,2016-03-12 19:35:15
11,2016-03-12 17:47:45
13,2016-03-12 02:28:06
11,2016-03-12 01:49:25
10,2016-03-11 18:18:36
11,2016-03-11 17:50:48
10,2016-03-11 04:35:39
11,2016-03-11 03:22:23
9,2016-03-11 02:36:57
10,2016-03-11 01:56:49
13,2016-03-10 20:26:26
12,2016-03-10 18:25:30
11,2016-03-10 16:42:10
11,2016-03-10 03:55:45
10,2016-03-10 01:35:01
7,2016-03-09 22:24:31
12,2016-03-09 16:56:11
4,2016-03-09 04:19:44
11,2016-03-09 03:45:22
10,2016-03-09 02:08:59
9,2016-03-09 01:26:57
10,2016-03-08 21:23:50
10,2016-03-08 20:09:54
11,2016-03-08 04:25:07
10,2016-03-08 03:00:15
12,2016-03-08 01:52:18
11,2016-03-08 01:25:10
3,2016-03-07 17:58:08
12,2016-03-07 03:24:33
9,2016-03-07 00:57:27
10,2016-03-06 21:31:22
11,2016-03-06 17:52:42
12,2016-03-06 16:27:23
12,2016-03-06 05:11:12
12,2016-03-06 02:46:44
11,2016-03-06 01:31:11
11,2016-03-05 23:51:49
7,2016-03-05 17:16:20
10,2016-03-05 04:36:02
12,2016-03-05 04:17:02
10,2016-03-04 23:32:15
11,2016-03-04 16:06:36
11,2016-03-04 03:13:11
12,2016-03-03 19:32:29
12,2016-03-03 17:19:38
11,2016-03-03 16:23:38
11,2016-03-03 03:51:44
9,2016-03-03 02:49:06
10,2016-03-02 18:48:16
12,2016-03-02 16:23:36
12,2016-03-02 03:30:25
10,2016-03-02 02:43:09
12,2016-03-02 01:56:53
7,2016-03-02 00:05:17
13,2016-03-01 20:11:59
12,2016-03-01 02:53:32
11,2016-03-01 01:36:14
12,2016-02-29 17:56:32
10,2016-02-29 16:47:42
8,2016-02-29 01:17:46
60,2016-02-28 21:25:30
10,2016-02-28 02:50:28
10,2016-02-28 02:29:55
11,2016-02-27 17:24:05
10,2016-02-27 16:03:45
9,2016-02-27 03:42:44
10,2016-02-27 02:32:12
12,2016-02-27 00:55:11
9,2016-02-26 23:10:06
12,2016-02-26 17:20:56
11,2016-02-26 04:48:02
10,2016-02-26 02:20:37
6,2016-02-25 19:04:13
11,2016-02-25 02:42:00
10,2016-02-25 01:47:04
11,2016-02-24 20:56:55
12,2016-02-24 17:04:07
12,2016-02-24 02:36:23
11,2016-02-23 23:39:59
9,2016-02-23 19:44:20
12,2016-02-23 04:06:20
11,2016-02-23 02:12:47
11,2016-02-22 21:59:57
10,2016-02-22 02:57:08
9,2016-02-22 00:53:31
10,2016-02-21 23:13:01
12,2016-02-21 01:19:47
11,2016-02-20 03:51:05
12,2016-02-20 02:06:50
10,2016-02-20 01:00:55
7,2016-02-19 21:39:54
11,2016-02-19 18:24:26
10,2016-02-19 03:11:35
12,2016-02-19 02:20:14
6,2016-02-18 23:28:52
10,2016-02-18 03:58:39
11,2016-02-18 02:54:41
10,2016-02-18 02:24:13
6,2016-02-17 21:02:13
10,2016-02-17 18:49:22
9,2016-02-17 17:01:14
11,2016-02-17 03:45:29
12,2016-02-17 02:54:04
10,2016-02-17 02:17:19
11,2016-02-17 02:02:25
5,2016-02-16 20:28:06
12,2016-02-16 04:15:05
12,2016-02-16 03:25:58
10,2016-02-16 02:42:52
11,2016-02-16 02:04:04
11,2016-02-15 23:13:03
10,2016-02-15 20:04:36
3,2016-02-15 04:31:20
8,2016-02-15 03:55:41
12,2016-02-15 03:27:04
13,2016-02-15 01:05:02
13,2016-02-14 21:55:47
11,2016-02-14 19:35:46
10,2016-02-14 16:33:40
10,2016-02-14 03:29:49
7,2016-02-14 03:01:06
12,2016-02-13 22:29:29
9,2016-02-13 16:50:04
10,2016-02-13 03:59:01
11,2016-02-13 03:05:01
11,2016-02-12 21:49:15
9,2016-02-12 17:22:12
10,2016-02-12 16:16:41
11,2016-02-12 04:07:53
11,2016-02-12 03:47:39
10,2016-02-12 00:39:39
10,2016-02-11 20:34:41
11,2016-02-11 03:02:54
11,2016-02-11 01:42:02
8,2016-02-11 00:18:49
11,2016-02-10 18:11:03
44,2016-02-10 16:51:59
10,2016-02-10 04:06:43
8,2016-02-10 03:22:44
10,2016-02-10 03:05:46
10,2016-02-10 02:14:42
12,2016-02-09 03:35:31
9,2016-02-09 03:14:25
12,2016-02-09 02:40:05
9,2016-02-09 02:07:12
10,2016-02-08 17:58:03
9,2016-02-08 15:14:57
12,2016-02-08 00:20:23
7,2016-02-07 18:51:43
11,2016-02-06 03:50:33
13,2016-02-06 02:22:53
13,2016-02-06 00:35:13
8,2016-02-05 15:27:17
12,2016-02-05 03:18:42
10,2016-02-05 00:51:51
10,2016-02-04 18:35:39
12,2016-02-04 04:03:57
11,2016-02-04 02:40:08
4,2016-02-04 02:00:27
6,2016-02-04 01:07:39
10,2016-02-03 15:30:43
12,2016-02-02 23:52:22
10,2016-02-02 03:08:26
10,2016-02-02 02:53:12
9,2016-02-02 01:21:07
10,2016-02-01 17:11:59
9,2016-02-01 15:39:48
11,2016-02-01 03:38:15
10,2016-01-31 23:42:03
7,2016-01-31 04:11:58
9,2016-01-31 03:49:30
12,2016-01-31 03:00:47
10,2016-01-31 02:31:43
3,2016-01-31 00:25:18
11,2016-01-30 17:31:20
10,2016-01-30 03:52:58
11,2016-01-30 02:41:58
9,2016-01-30 00:38:37
12,2016-01-29 19:36:08
11,2016-01-29 16:30:45
10,2016-01-29 15:36:45
9,2016-01-29 03:56:12
10,2016-01-29 03:03:25
10,2016-01-29 02:46:29
10,2016-01-29 02:17:12
12,2016-01-28 21:54:41
13,2016-01-28 16:53:37
12,2016-01-28 04:44:32
10,2016-01-28 02:30:58
10,2016-01-28 02:12:04
7,2016-01-27 18:42:06
12,2016-01-27 03:26:56
10,2016-01-27 01:33:08
13,2016-01-27 00:31:15
9,2016-01-26 16:12:33
8,2016-01-26 03:09:55
10,2016-01-25 22:58:05
10,2016-01-25 17:35:00
5,2016-01-25 04:49:38
12,2016-01-25 03:16:56
12,2016-01-25 02:17:57
13,2016-01-25 00:26:41
11,2016-01-24 18:09:23
11,2016-01-24 03:14:07
12,2016-01-24 02:48:07
11,2016-01-23 18:09:53
10,2016-01-23 16:47:25
12,2016-01-23 16:22:17
13,2016-01-23 03:20:44
8,2016-01-23 02:53:03
10,2016-01-23 00:21:03
11,2016-01-22 21:39:24
11,2016-01-22 18:09:28
10,2016-01-22 05:07:29
11,2016-01-22 03:24:22
9,2016-01-22 02:28:52
11,2016-01-21 19:04:15
10,2016-01-21 04:03:58
12,2016-01-21 03:38:27
10,2016-01-21 02:56:40
10,2016-01-21 02:34:07
12,2016-01-21 01:07:23
11,2016-01-20 20:21:00
9,2016-01-20 18:30:32
11,2016-01-20 15:44:48
12,2016-01-20 04:13:20
8,2016-01-20 04:03:02
10,2016-01-20 01:41:08
11,2016-01-20 00:03:21
12,2016-01-19 21:18:22
12,2016-01-19 18:39:13
13,2016-01-19 03:32:10
9,2016-01-19 03:10:43
10,2016-01-19 02:59:01
10,2016-01-19 02:36:42
9,2016-01-18 18:36:07
10,2016-01-18 17:52:38
11,2016-01-18 02:49:58
8,2016-01-18 02:21:04
10,2016-01-18 01:38:15
7,2016-01-18 01:22:00
9,2016-01-17 21:01:41
12,2016-01-17 19:27:24
8,2016-01-17 18:27:32
9,2016-01-17 02:23:42
12,2016-01-17 00:32:18
12,2016-01-16 15:40:14
13,2016-01-16 04:11:31
10,2016-01-16 02:02:19
10,2016-01-15 21:52:49
11,2016-01-15 18:24:18
12,2016-01-15 02:41:12
12,2016-01-15 02:08:05
11,2016-01-15 01:25:33
9,2016-01-14 18:33:48
11,2016-01-14 15:57:26
7,2016-01-14 04:41:12
12,2016-01-14 03:45:57
11,2016-01-14 03:28:06
10,2016-01-14 02:25:31
11,2016-01-13 16:56:30
7,2016-01-13 16:36:55
9,2016-01-13 04:23:58
11,2016-01-13 04:10:18
11,2016-01-13 03:12:26
5,2016-01-13 02:43:46
11,2016-01-13 02:17:20
11,2016-01-12 16:25:26
8,2016-01-12 03:20:05
12,2016-01-12 02:06:41
11,2016-01-11 22:56:10
11,2016-01-11 18:39:05
10,2016-01-11 17:50:18
11,2016-01-11 03:17:53
10,2016-01-11 02:40:19
10,2016-01-11 01:25:58
11,2016-01-10 05:01:51
12,2016-01-10 03:57:12
11,2016-01-10 02:13:27
3,2016-01-10 01:54:44
11,2016-01-09 23:55:38
8,2016-01-09 21:58:42
9,2016-01-09 19:31:20
9,2016-01-09 03:40:16
12,2016-01-09 03:24:40
7,2016-01-09 01:59:19
14,2016-01-08 19:45:39
9,2016-01-08 18:43:29
10,2016-01-08 05:00:14
10,2016-01-08 04:46:13
11,2016-01-08 04:21:00
11,2016-01-08 03:50:03
10,2016-01-08 01:16:17
